contig	chunk_name	organism
sample3_296		Chivirus sp. ctIDVJE
sample3_332		Axomammavirus sp. ctLXBM5
sample3_374		Dhakavirus sp. ct2JA9D
sample3_401		Tsarbombavirus sp. ct7YNLU
sample3_403		Kolesnikvirus sp. ctK6T8U
sample3_49		Mohonavirus sp. ctFOOPI
sample3_140		Phapecoctavirus sp. ctU9BDN
sample3_15	C0	Fromanvirus sp. ctY65YW
sample3_235		Bacelvirus sp. ct69XX2
sample3_39		Felixounavirus sp. ctOYXFL
sample3_51		Alphatrevirus sp. ctP5B1T
sample3_6	C0	Nankokuvirus sp. ctAQHAX
sample3_8	C0	Schmidvirus sp. ct4SKZT
sample3_8	C2	Schmidvirus sp. ct2QJYW
sample3_85		Stopavirus sp. ctOLX1S
sample3_191		Phapecoctavirus sp. ctE31PI
sample3_257		Peeveelvirus sp. ct4JGCM
sample3_276		Dhakavirus sp. ctQE9YB
sample3_30		Kostyavirus sp. ctM5LKB
sample3_46		Limdunavirus sp. ct2WUA3
sample3_5	C0	Aquingentivirus sp. ctYGGXB
sample3_99		Rosenblumvirus sp. ctBDS1O
sample3_135		Kolesnikvirus sp. ct75SLM
sample3_373		Bacelvirus sp. ctEPLAH
sample3_14	C0	Nankokuvirus sp. ct4LH51
sample3_189		Kolesnikvirus sp. ctCPZ79
sample3_202		Chivirus sp. ctYJ43P
sample3_236		Jerseyvirus sp. ctTBW56
sample3_25	C0	Mohonavirus sp. ctE6XVW
sample3_348		Dhakavirus sp. ct2XIVY
sample3_371		Caudoviricetes sp. ctEC1VH
sample3_436		Felsduovirus sp. ctKW13T
sample3_27	C0	Pahexavirus sp. ctA4DP1
sample3_405		Chivirus sp. ctETS5S
sample3_57		Parhipatevirus sp. ctWJK4S
sample3_126		Chivirus sp. ctRWCGJ
sample3_181		Liefievirus sp. ctBRQNE
sample3_290		Jerseyvirus sp. ctVXUYS
sample3_343		Axomammavirus sp. ctP2R25
sample3_44		Kostyavirus sp. ctJ02G2
sample3_467		Phapecoctavirus sp. ct3QRXC
sample3_172		Chivirus sp. ctPXIFY
sample3_170		Bacelvirus sp. ctIHJQU
sample3_222		Bacelvirus sp. ctS3LNF
sample3_358		Jerseyvirus sp. ctNL58B
sample3_431		Rosenblumvirus sp. ctM2EDL
sample3_185		Pachyviridae sp. ctLNVA2
sample3_2	C0	Caudoviricetes sp. ct7RYRO
sample3_256		Mohonavirus sp. ctU8F1P
sample3_311		Tsarbombavirus sp. ct7G5S0
sample3_34		Kostyavirus sp. ctM3V1R
sample3_340		Kostyavirus sp. ctIFQ2S
sample3_456		Tsarbombavirus sp. ctJPQDH
sample3_98		Jerseyvirus sp. ctGXRML
sample3_105		Caudoviricetes sp. ctAD9TR
sample3_112		Mohonavirus sp. ct59FGQ
sample3_123		Chivirus sp. ctVBEBB
sample3_277		Tsarbombavirus sp. ct7HVMR
sample3_50		Limmatquaivirus sp. ct03XKE
sample3_62		Caudoviricetes sp. ctEWGY1
sample3_71		Limdunavirus sp. ctHMDSZ
sample3_132		Mohonavirus sp. ctT3Q4B
sample3_147		Phapecoctavirus sp. ct99GVJ
sample3_307		Kolesnikvirus sp. ct1KXF2
sample3_461		Axomammavirus sp. ctA0JDW
sample3_164		Chivirus sp. ct4AL7Y
sample3_24	C0	Demerecviridae sp. ctQFH3K
sample3_56		Phietavirus sp. ctZ30R7
sample3_64		Limdunavirus sp. ctLWLSY
sample3_1		Vipivirus sp. ctXAV29
sample3_17	C0	Fromanvirus sp. ct9BMJ7
sample3_212		Peeveelvirus sp. ctILEXG
sample3_249		Dhakavirus sp. ct8KA2S
sample3_353		Dhakavirus sp. ct1Q62K
sample3_389		Axomammavirus sp. ctV7T7G
sample3_443		Bacelvirus sp. ctL3W6V
sample3_48		Stopavirus sp. ctWXJ4O
sample3_211		Chivirus sp. ctLPIX1
sample3_144		Mohonavirus sp. ctXCZC0
sample3_177		Pbunavirus sp. ctOAMB4
sample3_293		Liefievirus sp. ctIM73C
sample3_86		Dhakavirus sp. ct8EF51
sample3_88		Jerseyvirus sp. ct9DAYY
sample3_9	C0	Pahexavirus sp. ctNP0GT
sample3_224		Kolesnikvirus sp. ctU9GEM
sample3_225		Pankowvirus sp. ct3ES6N
sample3_26	C0	Felixounavirus sp. ct35QIR
